地区,年份,立案,结案,结案率
北京,2017,245,217,0.8857142857142857
天津,2017,171,184,1.0760233918128654
河北,2017,776,785,1.0115979381443299
山西,2017,7,7,1.0
内蒙古,2017,17,9,0.5294117647058824
辽宁,2017,446,437,0.9798206278026906
吉林,2017,65,65,1.0
黑龙江,2017,343,316,0.9212827988338192
上海,2017,229,235,1.0262008733624455
江苏,2017,1674,1725,1.0304659498207884
浙江,2017,11830,11833,1.0002535925612848
安徽,2017,933,887,0.9506966773847803
福建,2017,518,502,0.9691119691119691
江西,2017,142,103,0.7253521126760564
山东,2017,928,933,1.0053879310344827
河南,2017,1208,991,0.820364238410596
湖北,2017,746,731,0.9798927613941019
湖南,2017,510,463,0.907843137254902
广东,2017,3586,3505,0.9774121583937535
广西,2017,41,41,1.0
海南,2017,3,6,2.0
重庆,2017,409,409,1.0
四川,2017,1639,1787,1.0902989627821842
贵州,2017,53,55,1.0377358490566038
云南,2017,47,43,0.9148936170212766
西藏,2017,0,0,0.0
陕西,2017,189,194,1.0264550264550265
甘肃,2017,145,148,1.0206896551724138
青海,2017,2,8,4.0
宁夏,2017,74,68,0.918918918918919
新疆,2017,329,300,0.9118541033434651
新疆兵团,2017,0,0,0.0
